datatype,source_file,source_directory
TEXT,survey__weekly_survey_origcopy.csv,RADx-DHT
time,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad
time zone (UTC-[hh]:[mm]),NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
"time, 24-hr ([hh]:[mm])",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
Timestamp,GoogleFitSamples_datadictionary.csv,RADx-DHT
TIMESTAMP_NTZ,activity__garmin_activities_origcopy.csv,RADx-DHT
TIMESTAMP_NTZ,survey__baseline_survey_origcopy.csv,RADx-DHT
TIMESTAMP_NTZ,survey__weekly_survey_origcopy.csv,RADx-DHT
yesno,Demographics_and_Clinical.csv,RADx-DHT
ZIP code (#####),NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
Zipcode,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad
zipcode,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
