datatype,source_file,source_directory
Select one,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT
Select one,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Select one,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT
Select one,survey_data_dictionary_origcopy.csv - Wildfire.csv,RADx-DHT
Select one,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT
Select one,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT
String,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
String,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT
String,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT
String,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT
String,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT
String,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
String,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT
String,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT
String,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT
String,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
String,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
String,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
String,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT
String,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT
String,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT
string,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT
String,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT
String,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT
String,data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT
