Channel,variable_name,description,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Sleep,sleep__total_in_bed_minutes,"Total minutes in bed (""totalTimeInBed"")",https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,e80e7457fdc307a23b88699665ee3b9465cc50acf81bd6e714c1d0ab94a4d41f199e797a96f75c63a322fe5fa82fd89d9fa1d14c4cee55ac15e9cae4e7015e86
Sleep,sleep__num_sleeps,Number of sleeps (main sleep + naps) in a day,The number of sleep periods,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,e4a29cd974b5930df1f8bb122c1896facc9ca48598bb882116fb926dcba0d9fcc1252d8f122c2174e407df0fc3f312e4d922725b00bf6a71d398217447978827
Sleep,sleep__nap_count,Number of naps in a day,The number of sleep periods minus 1 if number of sleep periods is greater than 0 else None,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,014290213929db5343bc7ebd83b35fb0a13596cd02bbae51e1a61499f6cb649352a9675b10939a6e593077475c45ff6c0b735a4412537f76040a01abcb3b9666
Sleep,sleep__main_in_bed_minutes,Minutes in bed for only the main sleep of the day,Total minutes in bed from the designated main sleep period,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,fb9364096669d3df0d28a31c6116a0dbf8235428efb4113a2c5dbc0e1000cb33ee9056813274c0d1d549215f31e7f968945922e5dd5b0105b8e5e9be7311ecab
Sleep,sleep__main_asleep_minutes,Minutes asleep for only the main sleep,Total minutes asleep from the designated main sleep period,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,ff5c4ad43d8082b7ce48ddc466f09331d83a3c05009274a313428a0e2fb85adb163b9dc5d834a4de7b21262385feebb88f63bd1c38331a369bfb6c561205e54b
Sleep,sleep__main_efficiency,Sleep efficiency score during main sleep: 0-1,Fitbit sleep efficiency score from the designated main sleep period,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,f44021a19f9ed2fb1053aab7630183a18632774344c5e196f3585a34c373d9bb730307301775248d62813a6230678a3df7e8be8256841829191f7f3cfe9612b7
Sleep,sleep__main_start_minute,Minute of the day when the main sleep starts,Start time for the designated main sleep period,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,707a5031b0fe3db5f11b8042ab88536084fe170df05cb1a1de18dc5efaadb9b145d2787daec4fd511380c96cfb0757eaaa29e48815fed9d63c5d058bbde60c26
Sleep,sleep__loop_main_until_sleep_minutes,Minutes in bed before fallling asleep,The index of the first minute of sleep in sleep period,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,39aadd5f565db81ad2a7c13681dde2ef05f518bcee2f546504d0c3e11b8dbc1c9b126ef385451ba456182a7a71dcbdd3cc0948405e76fa375b6d5f749b5711ef
Sleep,sleep__loop_main_to_wakeup_minutes,Minutes in bed after waking up,The index of the last minute of sleep in sleep period,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,d44b6217214545f2ea2e3e10dab207e0c43b5bce07903982baea5ff9cc04a3d46aa63fe98442c2302f803cf84371110971099c919b16fba2477d2d4d305a88c4
Sleep,sleep__loop_main_awake_region_count,"Number of contiguous regions of ""awake"" sleep state",The count of minute level sleep regions that have levels of 'restless' or 'awake',long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,cede4c6ec6068fd2f88fadc1e3faffdab70d7f88b499a1bb060261db5989d4afdb42b91606a20af6ef196fe8d87b2406f800018e6700566ab6b720e4631327ed
Sleep,sleep__loop_main_really_awake_region_count,"Number of contiguous regions of ""really awake"" sleep state",The count of minute level sleep regions that have levels of 'awake',long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,398908e3d1f92ffdb65fdd5430a5b2b367069c642adb18b0b8f9df7fca5e99bdf520beff4acd57991b7557a17296caa7392ce521579f9c5d941cb96998187f50
Sleep,sleep__loop_main_awake_minutes,"Minutes in the main sleep spent ""awake""",The number of minutes with a sleep level of 'restless' or 'awake',long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,2dd3f8cdd262591f0c591cdedea3d0d28f3eb1b87a4b9c6c8be620d1a5baf6592285c3b842967f3835a126d4ee87a5df2f17b86d2baaefc795d96be8cf7b16c1
Sleep,sleep__loop_main_really_awake_minutes,"Minutes in the main sleep spent ""really awake""",The number of minutes with a sleep level of 'awake',long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,9503f0efaa0ea999e89d71135ce82c841077ce3aa494b7dc2d101e3ea38c6aa4aaaf8ebc3f444dd821f57f1700d3517dc347312579f31abc72df34b0349fa93f
Sleep,sleep__loop_main_asleep_minutes,"Minutes in the main sleep spent ""asleep""",The number of minutes with a sleep level of 'asleep',double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,686c817f3eefc9ff24938002428185e48f559b11abb00d3fd77e3aba822d0700ab1924d7f88933813d6265ec2fe27c54820e1c79dea6edcc2123e5b64f1ae033
