variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
customheartratezones[array].max,Maximum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,553f04a8aca1cb632a29489ec617ffc8c0a10735e71acdfdb9c35e0dc3ad567528a1423fb312cfeef35bcde8ea8f41cf6c4b7c1201847d7ef29186778b725144
customheartratezones[array].min,Minimum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,5979341810a23aa962497a693a1dd5d3329bc3a71a4cca7e66732b23d81a2c9ce7673f071db176390c8c6a38b78744ea0379a279de71452ccda3d7bd1976337d
customheartratezones[array].minutes,Total minutes within Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,2f3649b6d257f67b3907e38d0a4329bd93648e283fb7ae8ec2f8a8080ce12c2983460d14374de35b5ab1461b0d969e174cc2f03ac1f19c3d438d44addd22cba5
customheartratezones[array].name,Name of Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,1c4c8f4ed49fb56b5ad4015774a7ae26c0f5717a90b5e19a87a27a737dea8e0e91c456f028362d21707ca858f24bdba1a9ea136c493c966f997b3fa8ca3035da
heartratezones[array].caloriesout,Total estimated calories expended within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,double,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,8b6538fd7aa8c9c95f8cd0a6ddbd7018d2653a9cd48979604279bf4306ed786174cd09c5169eda3bd5dfa6bb436d979d4c45c35d0744e889882c9d87e86c98d3
heartratezones[array].max,Maximum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,629020d46d5ab8f284c9ff0e1dca072edec7165f08d09d2b09e943d52031d2ff4e7d9f4d5b409579eba53365d241ad70f89f676e9c687e7931e732f8f2e85c96
heartratezones[array].min,Minimum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,d7f3cfb7e9326f9e360ea82d3836a981d7130d65b9c8f469a29081dee0680d7e1f5239b1a081a53526e4f740a78b73d381671114f2a0508ad1e05432d898a3f4
heartratezones[array].minutes,Total minutes within Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,f1994b60f6fd38b73c126d5f9ad87603621b0fa24a086de49090229ddaac70f86ebf73e4cb8968c4b80fbc91ac7f99f3e81e5746857e335202b7c3a7a616b233
heartratezones[array].name,"Name of Heart Rate Zone array ",https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,9c725f21e6075365df7075d6e4caef3358f5c3b9a86e6ba599c51d35b015a52bfda6b6caa3ebe0a176b0cb1a7d2e4f50626a344dc6d6b3162db5adcf18025697
manualvaluesspecified.calories,Boolean signifying if specific data source (calories) was entered manually,https://dev.fitbit.com/build/reference/web-api/activity/,boolean,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,916a844edb4d659a9c0110239fd75e8c8a7b503b286a5a1e5f767ed5e4b79ddbe75d58e1056e52f41363c2d1d289966b53c542422da55bfab93231f78a962f4b
manualvaluesspecified.distance,Boolean signifying if specific data source (distance) was entered manually,https://dev.fitbit.com/build/reference/web-api/activity/,boolean,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,58afd14b7230c59e939c633bbf938bdf35014d2f6d02ce87f609b1a4dbf9475a18f4707b880d599e4e3f8a40e9dc6a95ba14631010389fc5ac3210f08e362123
manualvaluesspecified.steps,Boolean signifying if specific data source (steps) was entered manually,https://dev.fitbit.com/build/reference/web-api/activity/,boolean,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,00ec8032b0d188f0e49cacef587b14eb742a724b6bc22a9ee6061f565420fc3341e51fa60b8fb344f701435496d5577dc40be018565bbf9821993fcb70c98be3
