variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
summary.light.count,Number of distinct light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,8b83c0d84c7f2746bccb78552559004d54f3a942dc596813b1f4b1ac37fff335ae204f2f79ba993e8074fbee595b84396a87c1fe17379f32c3babb3e43aeb35f
summary.light.minutes,Total minutes in light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,5b95463c01cc34c0d86e1172daa7258e64c068dd5418a7414b3a51275a3bf483e147ffe6c306c81b86adf9c4e380648d4cae0ab094664696edf79ea0c41483ae
summary.light.thirtydayavgminutes,Thirty Day Average of time spent in light sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,8255da23afc602726e7f0d312251761acab290aeb392de418742d05f6465602a548de7a62ad042f432d0b7c09a3902eebb69362d2ee5f80d8c8e1a244fa7d13a
summary.rem.count,Number of distinct rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,45f3ac0311498c65b56d06b025a4a2e365416c94194fb9663af0290685d589667cba4f0fb1caaac006faa0773f1a16a18f5bac161b275c20155c817efd87adca
summary.rem.minutes,Total minutes in rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,36988e40400cdaa3d18e18b2e00d072ef07e46fe9e42201087a53bfd7ef9b3e7f18ba07532759fb3cb0b7f2ae10b5769b1b4dea9b762f69bf96210f3940d76e6
summary.rem.thirtydayavgminutes,Thirty Day Average of time spent in rem sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,24c9466754ace26d286f5b322d6c168aff41a6b471628a41a0f35782def9d6f498242c22808f9f14d40ba5f64b0ae7fed923498b73e431cb468ffc8a38a46ef1
summary.restless.count,Number of distinct restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,ea6e58df12a68e5df35e05296343e0ff35925065cae5f64017cd16881bf91d4623601a7024b117590c836f0296931dd1b3dccf58e35340cc55eec41d43b65386
summary.restless.minutes,Total minutes in restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,87be9511e32b4ba94448c9b67251bb4791f988c556e60586ffd8bc1d0bca026470a1b645f83519f55874a064800ec4e8c6eef42436c0147e911858ddd23e19cb
summary.wake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,21ba406e15af711c72fd25b8e790194abe11dca35e6375e03ba5f1cd7d1013e5190f102f459e6bed2d274edfe8eeee15186cb360f8a7c08fa19e8fd47ecc6c7c
summary.wake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,bf5e2a4ac8e9b69a208f08b9f9d5acedfb98231715198225ce46a14db3d746bcf2131fad6b45d16401331c7c64b89671ed24bbeb399742dfed43e11c13ebad48
summary.wake.thirtydayavgminutes,Thirty Day Average of time spent in awake category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,83a11458a7f86e1775622f45e4fab6a2f59e479cd6a38151e994e0cfcfb35cb53e2787602ea750b6122e1f30514ea60c9e0a2b7ff9d572caf2d0296515d2ffed
datetime,Date corresponding to sleep record,Data exists only prior to 2020-04-23,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,196648cbb1141e50362f78d0e8a7e0047a1de096db1d406e5e7c4f0435bbf1985f93afa4abe33684d11872eefbaf9a2077d5d9641c77262c40ca1e5ae8f7599c
